,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
202,0.2,0.01,96,1,96-0,40,Bernoulli,Diff-Means-Frac-0.75,0.8124928668360147
203,0.2,0.01,96,1,96-0,40,Bernoulli,LeastSqs-Prop,0.031240315174635797
204,0.2,0.01,96,1,96-0,40,Bernoulli,LeastSqs-Num,0.012700929216087209
205,0.2,0.01,96,1,96-0,41,Bernoulli,Graph-Aware,-0.07311781863854325
206,0.2,0.01,96,1,96-0,41,Bernoulli,Diff-Means-Stnd,-0.0014738936020589155
207,0.2,0.01,96,1,96-0,41,Bernoulli,Diff-Means-Frac-0.75,-0.4431378588011641
208,0.2,0.01,96,1,96-0,41,Bernoulli,LeastSqs-Prop,-0.038598644490299094
209,0.2,0.01,96,1,96-0,41,Bernoulli,LeastSqs-Num,-0.009014622022428198
210,0.2,0.01,96,1,96-0,42,Bernoulli,Graph-Aware,-0.3104025145081555
211,0.2,0.01,96,1,96-0,42,Bernoulli,Diff-Means-Stnd,-0.012818176478183396
212,0.2,0.01,96,1,96-0,42,Bernoulli,Diff-Means-Frac-0.75,-1.1017618885005238
213,0.2,0.01,96,1,96-0,42,Bernoulli,LeastSqs-Prop,-0.018506836028819248
214,0.2,0.01,96,1,96-0,42,Bernoulli,LeastSqs-Num,-0.026349692335080062
215,0.2,0.01,96,1,96-0,43,Bernoulli,Graph-Aware,-0.027738584793930335
216,0.2,0.01,96,1,96-0,43,Bernoulli,Diff-Means-Stnd,-0.009429644355885877
217,0.2,0.01,96,1,96-0,43,Bernoulli,Diff-Means-Frac-0.75,0.5160384834935245
218,0.2,0.01,96,1,96-0,43,Bernoulli,LeastSqs-Prop,-0.0031067453353374698
219,0.2,0.01,96,1,96-0,43,Bernoulli,LeastSqs-Num,-0.004353272313967579
220,0.2,0.01,96,1,96-0,44,Bernoulli,Graph-Aware,0.015396853917222444
221,0.2,0.01,96,1,96-0,44,Bernoulli,Diff-Means-Stnd,-0.03180591400173685
222,0.2,0.01,96,1,96-0,44,Bernoulli,Diff-Means-Frac-0.75,-1.101856653538279
223,0.2,0.01,96,1,96-0,44,Bernoulli,LeastSqs-Prop,-0.02665876782558032
224,0.2,0.01,96,1,96-0,44,Bernoulli,LeastSqs-Num,-0.04621135111697924
225,0.2,0.01,96,1,96-0,45,Bernoulli,Graph-Aware,0.13984227225922058
226,0.2,0.01,96,1,96-0,45,Bernoulli,Diff-Means-Stnd,-0.026455013475465288
227,0.2,0.01,96,1,96-0,45,Bernoulli,Diff-Means-Frac-0.75,-1.1015754230608974
228,0.2,0.01,96,1,96-0,45,Bernoulli,LeastSqs-Prop,0.021355264066017385
229,0.2,0.01,96,1,96-0,45,Bernoulli,LeastSqs-Num,0.0036910864306702613
230,0.2,0.01,96,1,96-0,46,Bernoulli,Graph-Aware,0.17929860999293953
231,0.2,0.01,96,1,96-0,46,Bernoulli,Diff-Means-Stnd,-0.018713509087523235
232,0.2,0.01,96,1,96-0,46,Bernoulli,Diff-Means-Frac-0.75,0.042724036574732435
233,0.2,0.01,96,1,96-0,46,Bernoulli,LeastSqs-Prop,-0.011753386960538828
234,0.2,0.01,96,1,96-0,46,Bernoulli,LeastSqs-Num,-0.01427354477230508
235,0.2,0.01,96,1,96-0,47,Bernoulli,Graph-Aware,-0.1728715579044468
236,0.2,0.01,96,1,96-0,47,Bernoulli,Diff-Means-Stnd,-0.02092668047279101
237,0.2,0.01,96,1,96-0,47,Bernoulli,Diff-Means-Frac-0.75,0.38743938769344327
238,0.2,0.01,96,1,96-0,47,Bernoulli,LeastSqs-Prop,-0.016722507603831798
239,0.2,0.01,96,1,96-0,47,Bernoulli,LeastSqs-Num,-0.008080515603641595
240,0.2,0.01,96,1,96-0,48,Bernoulli,Graph-Aware,0.15454693733333313
241,0.2,0.01,96,1,96-0,48,Bernoulli,Diff-Means-Stnd,-0.0011461929386518959
242,0.2,0.01,96,1,96-0,48,Bernoulli,Diff-Means-Frac-0.75,-1.102100884909968
243,0.2,0.01,96,1,96-0,48,Bernoulli,LeastSqs-Prop,0.010198531625823171
244,0.2,0.01,96,1,96-0,48,Bernoulli,LeastSqs-Num,-0.006172175215273615
245,0.2,0.01,96,1,96-0,49,Bernoulli,Graph-Aware,0.23410302104906186
246,0.2,0.01,96,1,96-0,49,Bernoulli,Diff-Means-Stnd,-0.022899719180689736
247,0.2,0.01,96,1,96-0,49,Bernoulli,Diff-Means-Frac-0.75,-0.9519163542197941
248,0.2,0.01,96,1,96-0,49,Bernoulli,LeastSqs-Prop,-0.009082460422342325
249,0.2,0.01,96,1,96-0,49,Bernoulli,LeastSqs-Num,-0.035460171382231176
250,0.2,0.01,96,1,96-0,50,Bernoulli,Graph-Aware,0.05674487596253325
251,0.2,0.01,96,1,96-0,50,Bernoulli,Diff-Means-Stnd,0.005464612278862074
252,0.2,0.01,96,1,96-0,50,Bernoulli,Diff-Means-Frac-0.75,0.23654423582335382
253,0.2,0.01,96,1,96-0,50,Bernoulli,LeastSqs-Prop,0.011710047915793428
254,0.2,0.01,96,1,96-0,50,Bernoulli,LeastSqs-Num,0.0059052969556941115
255,0.2,0.01,96,1,96-0,51,Bernoulli,Graph-Aware,-0.21763009464935434
256,0.2,0.01,96,1,96-0,51,Bernoulli,Diff-Means-Stnd,-0.045351896576719765
257,0.2,0.01,96,1,96-0,51,Bernoulli,Diff-Means-Frac-0.75,-1.1018192325636846
258,0.2,0.01,96,1,96-0,51,Bernoulli,LeastSqs-Prop,-0.00441691938331729
259,0.2,0.01,96,1,96-0,51,Bernoulli,LeastSqs-Num,-0.02939532145672124
260,0.2,0.01,96,1,96-0,52,Bernoulli,Graph-Aware,0.25996037264599914
261,0.2,0.01,96,1,96-0,52,Bernoulli,Diff-Means-Stnd,-0.014953189663327333
262,0.2,0.01,96,1,96-0,52,Bernoulli,Diff-Means-Frac-0.75,0.4618089031083777
263,0.2,0.01,96,1,96-0,52,Bernoulli,LeastSqs-Prop,-0.008315428655417104
264,0.2,0.01,96,1,96-0,52,Bernoulli,LeastSqs-Num,-0.01177496050356125
265,0.2,0.01,96,1,96-0,53,Bernoulli,Graph-Aware,0.2695414413703302
266,0.2,0.01,96,1,96-0,53,Bernoulli,Diff-Means-Stnd,-0.0032653318529025106
267,0.2,0.01,96,1,96-0,53,Bernoulli,Diff-Means-Frac-0.75,-0.3258681247865352
268,0.2,0.01,96,1,96-0,53,Bernoulli,LeastSqs-Prop,0.021555606589499218
269,0.2,0.01,96,1,96-0,53,Bernoulli,LeastSqs-Num,0.013869805071634687
270,0.2,0.01,96,1,96-0,54,Bernoulli,Graph-Aware,-0.0388456713906657
271,0.2,0.01,96,1,96-0,54,Bernoulli,Diff-Means-Stnd,0.012422039686681438
272,0.2,0.01,96,1,96-0,54,Bernoulli,Diff-Means-Frac-0.75,-0.19061238724617957
273,0.2,0.01,96,1,96-0,54,Bernoulli,LeastSqs-Prop,0.025972534754725007
274,0.2,0.01,96,1,96-0,54,Bernoulli,LeastSqs-Num,0.02803304810997349
275,0.2,0.01,96,1,96-0,55,Bernoulli,Graph-Aware,-0.06519039369518838
276,0.2,0.01,96,1,96-0,55,Bernoulli,Diff-Means-Stnd,-0.003818033537950634
277,0.2,0.01,96,1,96-0,55,Bernoulli,Diff-Means-Frac-0.75,-1.1015586518416667
