,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
245,0.2,2,256,2,16-0,49,Bernoulli,Graph-Aware,1.5993866068762421
246,0.2,2,256,2,16-0,49,Bernoulli,Diff-Means-Stnd,-0.7270476089268787
247,0.2,2,256,2,16-0,49,Bernoulli,Diff-Means-Frac-0.75,-1.1523896602057662
248,0.2,2,256,2,16-0,49,Bernoulli,LeastSqs-Prop,-1.2272884361918497
249,0.2,2,256,2,16-0,49,Bernoulli,LeastSqs-Num,1.7428895116571534
250,0.2,2,256,2,16-0,50,Bernoulli,Graph-Aware,-1.2248565042386244
251,0.2,2,256,2,16-0,50,Bernoulli,Diff-Means-Stnd,-0.7388475643921237
252,0.2,2,256,2,16-0,50,Bernoulli,Diff-Means-Frac-0.75,-1.129556702971891
253,0.2,2,256,2,16-0,50,Bernoulli,LeastSqs-Prop,-1.213092707436878
254,0.2,2,256,2,16-0,50,Bernoulli,LeastSqs-Num,0.6253265203212297
255,0.2,2,256,2,16-0,51,Bernoulli,Graph-Aware,-0.33838293804261904
256,0.2,2,256,2,16-0,51,Bernoulli,Diff-Means-Stnd,-0.7067898494445493
257,0.2,2,256,2,16-0,51,Bernoulli,Diff-Means-Frac-0.75,-1.1466660895523961
258,0.2,2,256,2,16-0,51,Bernoulli,LeastSqs-Prop,-0.9548892829998006
259,0.2,2,256,2,16-0,51,Bernoulli,LeastSqs-Num,1.842439519128481
260,0.2,2,256,2,16-0,52,Bernoulli,Graph-Aware,-3.2328559879182808
261,0.2,2,256,2,16-0,52,Bernoulli,Diff-Means-Stnd,-0.6875818356836089
262,0.2,2,256,2,16-0,52,Bernoulli,Diff-Means-Frac-0.75,-1.1324494254606032
263,0.2,2,256,2,16-0,52,Bernoulli,LeastSqs-Prop,-1.7181872630212676
264,0.2,2,256,2,16-0,52,Bernoulli,LeastSqs-Num,1.1703475120600177
265,0.2,2,256,2,16-0,53,Bernoulli,Graph-Aware,6.019469123657951
266,0.2,2,256,2,16-0,53,Bernoulli,Diff-Means-Stnd,-0.6722898342982415
267,0.2,2,256,2,16-0,53,Bernoulli,Diff-Means-Frac-0.75,-0.5207500000308563
268,0.2,2,256,2,16-0,53,Bernoulli,LeastSqs-Prop,-0.7207067068512067
269,0.2,2,256,2,16-0,53,Bernoulli,LeastSqs-Num,0.9613112338793597
270,0.2,2,256,2,16-0,54,Bernoulli,Graph-Aware,-2.595972054178425
271,0.2,2,256,2,16-0,54,Bernoulli,Diff-Means-Stnd,-0.726805053653942
272,0.2,2,256,2,16-0,54,Bernoulli,Diff-Means-Frac-0.75,-1.1283802533698717
273,0.2,2,256,2,16-0,54,Bernoulli,LeastSqs-Prop,-1.6818487385812346
274,0.2,2,256,2,16-0,54,Bernoulli,LeastSqs-Num,1.3165261748262407
275,0.2,2,256,2,16-0,55,Bernoulli,Graph-Aware,2.120029003521803
276,0.2,2,256,2,16-0,55,Bernoulli,Diff-Means-Stnd,-0.720400130836381
