,Estimator,rep,n,p,ratio,Bias
350,Graph-Agnostic,0,1000,0.05,1.3333333333333333,0.027715083457090617
351,Graph-Aware,0,1000,0.05,1.3333333333333333,0.06241965435941887
352,Graph-Agnostic-VR,0,1000,0.05,1.3333333333333333,0.07053654526780273
353,OLS-Prop,0,1000,0.05,1.3333333333333333,-0.1974817277481249
354,OLS-Num,0,1000,0.05,1.3333333333333333,0.10147505210502882
355,Diff-Means-Stnd,0,1000,0.05,1.3333333333333333,-0.5343440101970502
356,Diff-Means-Frac,0,1000,0.05,1.3333333333333333,-0.6937943043979161
357,Graph-Agnostic,1,1000,0.05,1.3333333333333333,0.15150875708188608
358,Graph-Aware,1,1000,0.05,1.3333333333333333,0.08050971235672852
359,Graph-Agnostic-VR,1,1000,0.05,1.3333333333333333,0.010095400949022868
